Id,Name,Behavior Varation Id,Ai Think Id,Name Id,English Name,Turn Velocity,Hit Height,Hit Radius,Weight,Hit Y Offset,Hp,Mp,Souls,Item Lots 1,Item Lots 2,Item Lots 3,Item Lots 4,Item Lots 5,Item Lots 6,Humanity Lot Id,Special Effect Id 0,Special Effect Id 1,Special Effect Id 2,Special Effect Id 3,Special Effect Id 4,Special Effect Id 5,Special Effect Id 6,Special Effect Id 7,Game Clear Special Effect ID,Physical Guard Cut Rate,Magical Guard Cut Rate,Fire Guard Cut Rate,Lightning Guard Cut Rate,Animation Id Offset,Move Animation Id,SpMoveAnimId1,SpMoveAnimId2,Network Warp Distance,Debug Behavior R1,Debug Behavior L1,Debug Behavior R2,Debug Behavior L2,Debug Behavior RL,Debug Behavior RR,Debug Behavior RD,Debug Behavior RU,Debug Behavior LL,Debug Behavior LR,Debug Behavior LD,Debug Behavior LU,Animation Id Offset 2,Parts Damage Rate 1,Parts Damage Rate 2,Parts Damage Rate 3,Parts Damage Rate 4,Parts Damage Rate 5,Parts Damage Rate 6,Parts Damage Rate 7,Parts Damage Rate 8,Weak Parts Damage Rate,Super Armor Recover Correction,Super Armor Brake Knockback Distance,Stamina,Stamina Recovery Base Rate,Physical Defense,Slash Defense,Blow Defense,Thrust Defense,Magic Defense,Fire Defense,Lightning Defense,Defense Flick Power,Resist Poison,Resist Disease,Resist Bleed,Resist Curse,Ghost Model Id,Normal Change Resource Id,Guard Angle,Slash Guard Cut Rate,Blow Guard Cut Rate,Thrust Guard Cut Rate,Super Armor Durability,Normal Change Tex Chr Id,Drop Type,Knockback Rate,Knockback Param Id,Fall Damage Dump,Stamina Guard Def,Pc Attr B,Pc Attr W,Pc Attr L,Pc Attr R,Area Attr B,Area Attr W,Area Attr L,Area Attr R,Mp Recover Base Vel,Flick Damage Cut Rate,Default Lod Param Id,Draw Type,Npc Type,Team Type,Move Type,Lock Dist,Material,Material Sfx,Material Weak,Material Sfx Weak,Parts Damage Type,Max Unduration Ang,Guard Level,Burn Sfx Type,Poison Guard Resist,Disease Guard Resist,Bleed Guard Resist,Curse Guard Resist,Parry Attack,Parry Defense,Sfx Size,Push Out Cam Region Radius,Hit Stop Type,Ladder End Check Offset Top,Ladder End Check Offset Low,Use Ragdoll Camera Hit,Disable Cloth Rigid Hit,Use Ragdoll,Is Demon,Is Ghost,Is No Damage Motion,Is Unduration,Is Change Wander Ghost,Model Display Mask 0,Model Display Mask 1,Model Display Mask 2,Model Display Mask 3,Model Display Mask 4,Model Display Mask 5,Model Display Mask 6,Model Display Mask 7,Model Display Mask 8,Model Display Mask 9,Model Display Mask 10,Model Display Mask 11,Model Display Mask 12,Model Display Mask 13,Model Display Mask 14,Model Display Mask 15,Is Enable Neck Turn,Disable Respawn,Is Move Animation Wait,Is Crowd,Is Weak Saint,Is Weak A,Is Weak B,Vow Type,Disable Initialize Dead,Translated Name,Japanese Name
503,Throw the coffin only skeleton ( large ),29100,503,0,,120,2.5,0.6,100,0,500,0,600,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,100,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,0,0,100,40,125,0,-25,0,80,60,100,0,900,900,900,0,-1,-1,0,0,0,0,60,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Throw the coffin only skeleton ( large ),棺投げ専用　スケルトン（大）
510,DS2 test knight assumed,20200,510,0,,180,1.5,0.4,100,0,1,0,1460,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,100,16,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1,1,1,1,1,1,1,1,1,0,0,100,40,120,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,DS2 test knight assumed,ＤＳ２テスト　騎士想定
511,Skeleton song _ Ken Parry,29000,511,0,,180,1.5,0.4,100,0,100,0,60,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,100,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,0,0,100,40,100,0,-25,0,80,60,100,0,900,900,900,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Skeleton song _ Ken Parry,スケルトン＿曲剣パリィ
514,Wyvern bird control,35200,514,0,,90,2.4,0.8,100,0,150,0,0,-1,-1,-1,-1,-1,-1,-1,5300,0,0,0,0,0,0,0,0,0,0,0,0,20000,101,102,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,706,705,0,1,1,1,1,1,1,1,1,3,0,0,100,40,100,0,0,0,80,60,100,0,200,200,200,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,5,10,59,59,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Wyvern bird control,ワイバーン・鳥制御
520,DS2Test Kawakami for,25000,530,0,,180,1.5,0.4,100,0,1,0,1460,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,120,16,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1,1,1,1,1,1,1,1,1,0,0,100,40,120,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,DS2Test Kawakami for,DS2Test 川上用
521,DS2Test Kawakami for ally,1030,530,0,,135,1.5,0.6,100,0,1,0,1460,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,102,100,16,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1,1,1,1,1,1,1,1,1,0,0,100,40,120,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,FALSE,DS2Test Kawakami for ally,DS2Test 川上用味方
522,DS2Test Kawakami for 2,25000,530,0,,180,1.5,0.4,100,0,1,0,1460,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,120,16,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1,1,1,1,1,1,1,1,1,0,0,100,40,120,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,DS2Test Kawakami for 2,DS2Test 川上用2
540,DS2 test for Watanabe,1030,540,0,,180,1.5,0.4,100,0,1,0,1460,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,100,16,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1,1,1,1,1,1,1,1,1,0,0,100,40,120,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,DS2 test for Watanabe,DS2テスト 渡辺用
541,DS2 test Watanabe for preliminary,1030,541,0,,180,1.5,0.4,100,0,1,0,1460,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,100,16,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1,1,1,1,1,1,1,1,1,0,0,100,40,120,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,DS2 test Watanabe for preliminary,DS2テスト 渡辺用予備
550,DS2 test for automated testing wandering ( Watanabe Management),1030,550,0,,180,1.5,0.4,100,0,1,0,1460,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,100,16,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1,1,1,1,1,1,1,1,1,0,0,100,40,120,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,DS2 test for automated testing wandering ( Watanabe Management),DS2テスト 自動テスト用徘徊 (渡辺管理)
551,DS2 test for automated testing wandering preliminary ( Watanabe Management),1030,551,0,,180,1.5,0.4,100,0,1,0,1460,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,100,16,3000,3001,3002,3003,9800,3300,6200,9910,3004,3100,701,700,90000,1,1,1,1,1,1,1,1,1,0,0,100,40,120,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,DS2 test for automated testing wandering preliminary ( Watanabe Management),DS2テスト 自動テスト用徘徊予備 (渡辺管理)
1000,DS2 homing test _ knight sword,1020,100,0,,180,1.5,0.4,100,0,130,0,330,50010,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,102,100,16,3000,3001,3002,3003,9800,3300,6200,9910,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,100,40,90,0,0,0,54,77,100,0,75,75,100,0,-1,-1,0,0,0,0,40,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,DS2 homing test _ knight sword,DS２　帰巣テスト　騎士＿剣
1003,NPC closing the end of DS2 4 〆 gate,0,0,0,,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,3,0,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NPC closing the end of DS2 4 〆 gate,DS２　4末〆 門を閉めるNPC
